Ticker,Type,Exchange,Expiration Date,Multiplier,Base Currency,Symbol,Quote Currency,Conid
EZA,STK,SMART,,,USD,,,17058090
EWW,STK,SMART,,,USD,,,2586566
ARGT,STK,SMART,,,USD,,,127587915
EWC,STK,SMART,,,USD,,,2586548
EWZ,STK,SMART,,,USD,,,10753244
