Ticker,Type,Exchange,Expiration,Multiplier,Base Currency,Symbol,Quote Currency,Conid
CPER,STK,SMART,,,USD,,,97462781
PALL,STK,SMART,,,USD,,,334909223
URA,STK,SMART,,,USD,,,211651685
IYM,STK,ARCA,,,USD,,,10753224
SLX,STK,ARCA,,,USD,,,229726273
