Ticker,Type,Exchange,Expiration Date,Multiplier,Base Currency,Symbol,Quote Currency,Conid
AAPL,STK,SMART,,,USD,,,265598
GOOG,STK,SMART,,,USD,,,208813720
MSFT,STK,SMART,,,USD,,,272093
AMZN,STK,SMART,,,USD,,,3691937
NFLX,STK,SMART,,,USD,,,15124833
TSLA,STK,SMART,,,USD,,,76792991
META,STK,AMEX,,,USD,,,107113386
