Ticker,Type,Exchange,Expiration,Multiplier,Base Currency,Symbol,Quote Currency,Conid
TNX,IND,CBOE,,,USD,,,
TYX,IND,CBOE,,,USD,,,
FVX,IND,CBOE,,,USD,,,
IRX,IND,CBOE,,,USD,,,
IGV,STK,SMART,,,USD,,,12658199
IEF,STK,SMART,,,USD,,,15547844
SHY,STK,SMART,,,USD,,,15547851
TIP,STK,SMART,,,USD,,,26787475
LQD,STK,SMART,,,USD,,,15547816
IVOL,STK,SMART,,,USD,,,365931926
IGOV,STK,SMART,,,USD,,,57482345
TLT,STK,SMART,,,USD,,,15547841
JNK,STK,SMART,,,USD,,,356312840
HYG,STK,SMART,,,USD,,,43652089
